t,v1,v2,v3,v4,v1_external,v2_external,v3_external,v4_external
3.400000000000000244e-01,1.412673625376732245e+00,6.351801319889248676e-01,2.028498612366913978e+00,1.738399776678377917e-01,8.871662035447516192e-01,2.951156408158900346e-01,2.028128269530278249e+00,-7.692007557819539043e-01
3.449999999999999734e-01,1.403042388091283899e+00,6.445871537718481648e-01,2.027025406715495137e+00,1.708196682005866385e-01,8.775349662593032729e-01,3.045226625988133318e-01,2.026655063878859409e+00,-7.722210652492049743e-01
3.499999999999999778e-01,1.391819729680227269e+00,6.448273955745521535e-01,2.023394733114555866e+00,1.675561519827361567e-01,8.663123078482466433e-01,3.047629044015173205e-01,2.023024390277920137e+00,-7.754845814670554560e-01
3.549999999999999822e-01,1.375888389064560791e+00,6.474585105300260102e-01,2.020419547335675858e+00,1.682528960158465314e-01,8.503809672325801650e-01,3.073940193569911772e-01,2.020049204499040130e+00,-7.747878374339451923e-01
3.599999999999999867e-01,1.362251087445182085e+00,6.523720256337077750e-01,2.014295285176094463e+00,1.631098397326598559e-01,8.367436656132014594e-01,3.123075344606729420e-01,2.013924942339458735e+00,-7.799308937171318679e-01
3.649999999999999911e-01,1.353041256472882203e+00,6.520561363839704194e-01,2.012610491117816647e+00,1.566853511433942692e-01,8.275338346409015777e-01,3.119916452109355864e-01,2.012240148281180918e+00,-7.863553823063973436e-01
3.699999999999999956e-01,1.339979543513975857e+00,6.558693382153693019e-01,2.009184845699560906e+00,1.532175990199892979e-01,8.144721216819952314e-01,3.158048470423344689e-01,2.008814502862925178e+00,-7.898231344298023426e-01
3.750000000000000000e-01,1.329467826839861866e+00,6.619298720877720976e-01,2.005076429311011488e+00,1.500368681495996281e-01,8.039604050078812403e-01,3.218653809147372646e-01,2.004706086474375759e+00,-7.930038653001920679e-01
3.800000000000000044e-01,1.315451019850397696e+00,6.628786745200306862e-01,2.004397041340086449e+00,1.460172276018947002e-01,7.899435980184170703e-01,3.228141833469958533e-01,2.004026698503450721e+00,-7.970235058478969403e-01
3.850000000000000089e-01,1.301898491066491470e+00,6.662338245370384993e-01,1.997229526559972435e+00,1.420191923372049192e-01,7.763910692345108444e-01,3.261693333640036663e-01,1.996859183723336484e+00,-8.010215411125867213e-01
3.900000000000000133e-01,1.293610324251481369e+00,6.640800015819554591e-01,1.998471998316060594e+00,1.394972442700052329e-01,7.681029024195007437e-01,3.240155104089206262e-01,1.998101655479424643e+00,-8.035434891797864632e-01
3.950000000000000178e-01,1.282145749255606093e+00,6.681573520336226979e-01,1.994636024231787319e+00,1.371208069919263028e-01,7.566383274236254675e-01,3.280928608605878649e-01,1.994265681395151368e+00,-8.059199264578653654e-01
4.000000000000000222e-01,1.274024387320562557e+00,6.697123673298343016e-01,1.988554200174996511e+00,1.335329211245539771e-01,7.485169654885819313e-01,3.296478761567994686e-01,1.988183857338360561e+00,-8.095078123252377189e-01
4.050000000000000266e-01,1.262516264801942789e+00,6.784490631018871287e-01,1.985247228876849013e+00,1.329471300849864313e-01,7.370088429699621635e-01,3.383845719288522957e-01,1.984876886040213062e+00,-8.100936033648051815e-01
4.099999999999999756e-01,1.248730436166698654e+00,6.768869560542161157e-01,1.981981585817243374e+00,1.270040149103360827e-01,7.232230143347180285e-01,3.368224648811812827e-01,1.981611242980607424e+00,-8.160367185394555856e-01
4.149999999999999800e-01,1.239661148546876701e+00,6.816635130031509782e-01,1.975040071563997301e+00,1.266548319078816542e-01,7.141537267148960755e-01,3.415990218301161452e-01,1.974669728727361351e+00,-8.163859015419100418e-01
4.199999999999999845e-01,1.234062377831760982e+00,6.804396517645772136e-01,1.972868089672921155e+00,1.209331744508843759e-01,7.085549559997803559e-01,3.403751605915423806e-01,1.972497746836285204e+00,-8.221075589989073062e-01
4.249999999999999889e-01,1.224068943114792862e+00,6.848035090099336974e-01,1.971497049927207090e+00,1.216672484573226021e-01,6.985615212828122367e-01,3.447390178368988645e-01,1.971126707090571140e+00,-8.213734849924690939e-01
4.299999999999999933e-01,1.212001721729212944e+00,6.833630404595881780e-01,1.964857568214789296e+00,1.169712631513891432e-01,6.864942998972323185e-01,3.432985492865533450e-01,1.964487225378153346e+00,-8.260694702984024973e-01
4.349999999999999978e-01,1.203997637123890962e+00,6.851400315715026057e-01,1.963932085309197273e+00,1.168833390849172149e-01,6.784902152919103369e-01,3.450755403984677727e-01,1.963561742472561322e+00,-8.261573943648744534e-01
4.400000000000000022e-01,1.195739404392326621e+00,6.873322044826086774e-01,1.958266167323994944e+00,1.145186932639165878e-01,6.702319825603459957e-01,3.472677133095738444e-01,1.957895824487358993e+00,-8.285220401858750527e-01
4.450000000000000067e-01,1.186750625731352482e+00,6.892818799036234401e-01,1.952152951017876115e+00,1.136925982416673725e-01,6.612432038993718564e-01,3.492173887305886071e-01,1.951782608181240164e+00,-8.293481352081243374e-01
4.500000000000000111e-01,1.178634771035597550e+00,6.865845721990662121e-01,1.947867480609100532e+00,1.113539447046208580e-01,6.531273492036169248e-01,3.465200810260313791e-01,1.947497137772464582e+00,-8.316867887451707686e-01
4.550000000000000155e-01,1.168552395431429858e+00,6.919126484508153485e-01,1.946071094376409905e+00,1.085394022652616669e-01,6.430449735994492322e-01,3.518481572777805155e-01,1.945700751539773954e+00,-8.345013311845299597e-01
4.600000000000000200e-01,1.159081268247697416e+00,6.914019743213520863e-01,1.939668396879223433e+00,1.079182228431983664e-01,6.335738464157167904e-01,3.513374831483172533e-01,1.939298054042587482e+00,-8.351225106065932602e-01
4.650000000000000244e-01,1.150044774653711244e+00,6.932198634465309706e-01,1.937317487975719565e+00,1.028789479375079169e-01,6.245373528217306180e-01,3.531553722734961376e-01,1.936947145139083615e+00,-8.401617855122837097e-01
4.699999999999999734e-01,1.144011263455752436e+00,6.952584392861631546e-01,1.926708938733939558e+00,1.058095931750883401e-01,6.185038416237718106e-01,3.551939481131283216e-01,1.926338595897303607e+00,-8.372311402747033560e-01
4.749999999999999778e-01,1.128766933720425580e+00,6.962409943487886110e-01,1.925722888690873269e+00,9.839044336290338200e-02,6.032595118884449548e-01,3.561765031757537781e-01,1.925352545854237318e+00,-8.446502900868883001e-01
4.799999999999999822e-01,1.124377673731106420e+00,6.980799069663912171e-01,1.918907132458731901e+00,9.867994498116899882e-02,5.988702518991257939e-01,3.580154157933563841e-01,1.918536789622095950e+00,-8.443607884686226139e-01
4.849999999999999867e-01,1.116110891675997641e+00,7.014818828117678207e-01,1.918218657550242012e+00,9.692859389192463870e-02,5.906034698440170150e-01,3.614173916387329877e-01,1.917848314713606062e+00,-8.461121395578670157e-01
4.899999999999999911e-01,1.104573961180005615e+00,7.026691508817147769e-01,1.912486551875505425e+00,9.401409765816483299e-02,5.790665393480249890e-01,3.626046597086799439e-01,1.912116209038869474e+00,-8.490266357916268491e-01
4.949999999999999956e-01,1.099446458494652390e+00,7.050022972266075660e-01,1.910245021216468553e+00,9.484135564575060795e-02,5.739390366626717643e-01,3.649378060535727331e-01,1.909874678379832602e+00,-8.481993778040410881e-01
5.000000000000000000e-01,1.088797677348055659e+00,7.013024297554311115e-01,1.901124003466265311e+00,8.999109441131053488e-02,5.632902555160750335e-01,3.612379385823962785e-01,1.900753660629629360e+00,-8.530496390384811889e-01
5.050000000000000044e-01,1.083094929811474261e+00,7.034145098109272354e-01,1.900632956826776798e+00,8.904250245810503561e-02,5.575875079794936351e-01,3.633500186378924024e-01,1.900262613990140848e+00,-8.539982309916865910e-01
5.100000000000000089e-01,1.072326568884175213e+00,7.040358144296097187e-01,1.894833297194545629e+00,8.781442893907150105e-02,5.468191470521945874e-01,3.639713232565748857e-01,1.894462954357909679e+00,-8.552263045107201256e-01
5.150000000000000133e-01,1.065049602226143088e+00,7.047229824715937063e-01,1.886057408830238646e+00,8.498416845931555663e-02,5.395421803941624628e-01,3.646584912985588733e-01,1.885687065993602696e+00,-8.580565649904761116e-01
5.200000000000000178e-01,1.057196707388548873e+00,7.077539758505038137e-01,1.884896932169026984e+00,8.435489539487159294e-02,5.316892855565682474e-01,3.676894846774689807e-01,1.884526589332391033e+00,-8.586858380549200476e-01
5.250000000000000222e-01,1.046475606045287332e+00,7.089370551410794086e-01,1.878558257122446173e+00,8.248463387997273522e-02,5.209681842133067065e-01,3.688725639680445756e-01,1.878187914285810223e+00,-8.605560995698189330e-01
5.300000000000000266e-01,1.034801356653666238e+00,7.081633340727228054e-01,1.868818363141852235e+00,8.294189581880610784e-02,5.092939348216856121e-01,3.680988428996879724e-01,1.868448020305216284e+00,-8.600988376309856021e-01
5.350000000000000311e-01,1.024249397973529208e+00,7.095272610664673518e-01,1.865573117437790973e+00,8.031331061939535332e-02,4.987419761415485819e-01,3.694627698934325188e-01,1.865202774601155022e+00,-8.627274228303962733e-01
5.400000000000000355e-01,1.021382651195224645e+00,7.125238338399094706e-01,1.859056695030461670e+00,7.670491176897580032e-02,4.958752293632440189e-01,3.724593426668746377e-01,1.858686352193825719e+00,-8.663358216808159096e-01
5.450000000000000400e-01,1.008114785050410189e+00,7.106045663096293152e-01,1.853357819296283404e+00,7.623945252049160737e-02,4.826073632184295636e-01,3.705400751365944823e-01,1.852987476459647453e+00,-8.668012809293000887e-01
5.500000000000000444e-01,9.972770233176077026e-01,7.138260675455873061e-01,1.846058265446323121e+00,7.615025593160663908e-02,4.717696014856270770e-01,3.737615763725524731e-01,1.845687922609687170e+00,-8.668904775181850431e-01
5.550000000000000488e-01,9.891070685289560238e-01,7.124277623869894605e-01,1.841740931515149837e+00,6.990465827772984753e-02,4.635996466969753982e-01,3.723632712139546275e-01,1.841370588678513887e+00,-8.731360751720618207e-01
5.600000000000000533e-01,9.784407612256358355e-01,7.140508696290064350e-01,1.832365133042529459e+00,7.175366552232620432e-02,4.529333393936552099e-01,3.739863784559716020e-01,1.831994790205893509e+00,-8.712870679274654639e-01
5.649999999999999467e-01,9.703672568504512208e-01,7.174486695012174398e-01,1.826433898471065520e+00,7.120219427553285685e-02,4.448598350184705952e-01,3.773841783281826068e-01,1.826063555634429569e+00,-8.718385391742587975e-01
5.699999999999999512e-01,9.583990534826615226e-01,7.133755066497365904e-01,1.817916790202758648e+00,6.526125631197234045e-02,4.328916316506808970e-01,3.733110154767017574e-01,1.817546447366122697e+00,-8.777794771378193417e-01
5.749999999999999556e-01,9.478510081672594234e-01,7.157493261582498212e-01,1.809760329921944244e+00,6.295356985125109828e-02,4.223435863352787978e-01,3.756848349852149882e-01,1.809389987085308293e+00,-8.800871635985405561e-01
5.799999999999999600e-01,9.357067975373248858e-01,7.180657278274721333e-01,1.799410571763207178e+00,6.211606336366252978e-02,4.101993757053442602e-01,3.780012366544373004e-01,1.799040228926571228e+00,-8.809246700861291801e-01
5.849999999999999645e-01,9.272045481143430523e-01,7.163787464985299502e-01,1.795888264736878126e+00,6.132883160085050162e-02,4.016971262823624267e-01,3.763142553254951173e-01,1.795517921900242175e+00,-8.817119018489412152e-01
5.899999999999999689e-01,9.131418550177812232e-01,7.191789871100479070e-01,1.786603107241988120e+00,5.764064513393473560e-02,3.876344331858005976e-01,3.791144959370130740e-01,1.786232764405352169e+00,-8.854000883158569257e-01
5.949999999999999734e-01,9.052988440626772437e-01,7.220097192831230748e-01,1.778728590057419234e+00,6.039861581905453525e-02,3.797914222306966181e-01,3.819452281100882418e-01,1.778358247220783284e+00,-8.826421176307370775e-01
5.999999999999999778e-01,8.955851777003669412e-01,7.201375198630416419e-01,1.769456993263887501e+00,5.661009745851583452e-02,3.700777558683863155e-01,3.800730286900068089e-01,1.769086650427251550e+00,-8.864306359912758060e-01
6.049999999999999822e-01,8.778712873692144925e-01,7.175232508073394744e-01,1.758957925930869193e+00,5.476237330832769978e-02,3.523638655372338668e-01,3.774587596343046414e-01,1.758587583094233242e+00,-8.882783601414639962e-01
6.099999999999999867e-01,8.641859468907884256e-01,7.162953306054514746e-01,1.748858773792868249e+00,5.537235593528641586e-02,3.386785250588078000e-01,3.762308394324166416e-01,1.748488430956232298e+00,-8.876683775145052246e-01
6.149999999999999911e-01,8.583664898675665844e-01,7.184572989233811713e-01,1.741123557003240174e+00,5.401042410273079741e-02,3.328590680355859588e-01,3.783928077503463383e-01,1.740753214166604224e+00,-8.890303093470608431e-01
6.199999999999999956e-01,8.500625579839216073e-01,7.170638217115385959e-01,1.728080350377992236e+00,5.181662434635742748e-02,3.245551361519409816e-01,3.769993305385037630e-01,1.727710007541356285e+00,-8.912241091034341922e-01
6.250000000000000000e-01,8.306227021615296691e-01,7.166641202562431534e-01,1.719231894127713156e+00,5.071989684709655999e-02,3.051152803295490434e-01,3.765996290832083204e-01,1.718861551291077205e+00,-8.923208366026951222e-01
6.300000000000000044e-01,8.176097017954577773e-01,7.195615250952213104e-01,1.710357533010003150e+00,5.152289010740190855e-02,2.921022799634771516e-01,3.794970339221864775e-01,1.709987190173367200e+00,-8.915178433423898152e-01
