t,v1,v2,v3,v4
4.199999999999999845e-01,4.764524815668225721e-01,5.084468708982249341e-01,1.129359507810295593e+00,3.812108720625184775e-03
4.249999999999999889e-01,4.702674235933526070e-01,5.157651705078690751e-01,1.132163564233795272e+00,7.854812147232045211e-03
4.299999999999999933e-01,4.619683789030875065e-01,5.172508937386178784e-01,1.129661306322128800e+00,6.435590949104320890e-03
4.349999999999999978e-01,4.576963544072332191e-01,5.219288592737809651e-01,1.132839291630572065e+00,9.595982489936205617e-03
4.400000000000000022e-01,4.531384357749286274e-01,5.270000644069029461e-01,1.131247565744139427e+00,1.045488922391202107e-02
4.450000000000000067e-01,4.478228519209441205e-01,5.318103225930456146e-01,1.129184071459405470e+00,1.283151072091165239e-02
4.500000000000000111e-01,4.433579259402986583e-01,5.319588351677775329e-01,1.128928950956902932e+00,1.367888027813905782e-02
4.550000000000000155e-01,4.369092642440892682e-01,5.401218280041408804e-01,1.131148899197961244e+00,1.403800080072716353e-02
4.600000000000000200e-01,4.310598583402944772e-01,5.424391758909111738e-01,1.128754104327707397e+00,1.658262429590558890e-02
4.650000000000000244e-01,4.256384604284126350e-01,5.470823313214128181e-01,1.130408446199912653e+00,1.470593623859331629e-02
4.699999999999999734e-01,4.232189062357166187e-01,5.519476665776499313e-01,1.123808443051082850e+00,2.080071814486990009e-02
4.749999999999999778e-01,4.115929776939647455e-01,5.557628139765343755e-01,1.126840320701928855e+00,1.655212152625792910e-02
4.799999999999999822e-01,4.108322188921365026e-01,5.604445644020999984e-01,1.124058072205095682e+00,2.002354010444247143e-02
4.849999999999999867e-01,4.062097446298399417e-01,5.667040912607708147e-01,1.127424969725129955e+00,2.147047799932684173e-02
4.899999999999999911e-01,3.983386646088494243e-01,5.707681295252997611e-01,1.125776447014676496e+00,2.177569322193636386e-02
4.949999999999999956e-01,3.969043000020857637e-01,5.760017930891550009e-01,1.127653092702696425e+00,2.584915957937724065e-02
5.000000000000000000e-01,3.899816783258572284e-01,5.752307236995004569e-01,1.122691241088952907e+00,2.427668442766215198e-02
5.050000000000000044e-01,3.880438148986884994e-01,5.803044071039210605e-01,1.126406737547398285e+00,2.664252628854148555e-02
5.100000000000000089e-01,3.810847165148603111e-01,5.839246202648326056e-01,1.124867353676456405e+00,2.877057684222312367e-02
5.150000000000000133e-01,3.776669766930088046e-01,5.876524627683681334e-01,1.120411776203570131e+00,2.934312938383398447e-02
5.200000000000000178e-01,3.737287727815793437e-01,5.937703035999090107e-01,1.123637873414220945e+00,3.216829709602554710e-02
