t,v1,v2,v3,v4
3.699999999999999956e-01,9.696045909862046619e-01,8.811427165602333522e-01,2.242067682581698751e+00,1.518174797772031404e-01
3.750000000000000000e-01,9.777581518185052278e-01,8.775683965809641940e-01,2.241867689135315089e+00,1.517255361863293628e-01
3.800000000000000044e-01,9.818757354812664984e-01,8.691511986667113110e-01,2.244963320784810978e+00,1.506910630419875108e-01
3.850000000000000089e-01,9.859468588122277666e-01,8.633991553996935853e-01,2.241443409314519020e+00,1.495792354815137226e-01
3.900000000000000133e-01,9.947925875833756315e-01,8.523864451262173070e-01,2.246212082119243281e+00,1.498492165122856379e-01
3.950000000000000178e-01,9.999938467698895606e-01,8.478423200199762810e-01,2.245786926163654496e+00,1.501751161174416371e-01
4.000000000000000222e-01,1.008092552600402758e+00,8.410020422096293746e-01,2.243006542121202873e+00,1.492046522980051693e-01
4.050000000000000266e-01,1.012381519930906526e+00,8.415581175634903044e-01,2.242897604920087051e+00,1.511560237211352076e-01
4.099999999999999756e-01,1.013992985365283372e+00,8.320183240630917298e-01,2.242732513147710272e+00,1.476744325092323173e-01
4.149999999999999800e-01,1.019944677960509472e+00,8.290082093834193477e-01,2.238799926342575297e+00,1.497157108283848070e-01
4.199999999999999845e-01,1.029014267052803522e+00,8.201766375760863870e-01,2.239551029127964110e+00,1.463179724919868030e-01
4.249999999999999889e-01,1.033360393581275627e+00,8.170996001798089825e-01,2.241022921820504443e+00,1.493138790178701325e-01
4.299999999999999933e-01,1.035327806711224152e+00,8.083728573297059850e-01,2.237151808674691544e+00,1.468220216452754689e-01
4.349999999999999978e-01,1.041077277589435246e+00,8.030059872210107974e-01,2.238925605900012439e+00,1.488848212012763295e-01
4.400000000000000022e-01,1.046315274647349414e+00,7.981845298727965332e-01,2.235895232102334429e+00,1.486217055815341748e-01
4.450000000000000067e-01,1.050588992345977690e+00,7.932386840749966472e-01,2.232359044216971622e+00,1.498520616324300336e-01
4.500000000000000111e-01,1.055525268216560342e+00,7.837519359191056356e-01,2.230597165494372369e+00,1.495287908946579258e-01
4.550000000000000155e-01,1.058307739666051184e+00,7.823847498723824900e-01,2.231275863726822628e+00,1.486924638622953154e-01
4.600000000000000200e-01,1.061536914745213167e+00,7.752612453568400452e-01,2.227304515472580349e+00,1.500161170870669969e-01
4.650000000000000244e-01,1.065058517828753715e+00,7.705371757002339450e-01,2.227345827388536481e+00,1.468919543851218146e-01
4.699999999999999734e-01,1.071462783455597867e+00,7.660933185068532492e-01,2.219094804711342572e+00,1.517115254940242242e-01
4.749999999999999778e-01,1.068557290775209223e+00,7.606418624749158308e-01,2.220435841295622659e+00,1.461585153766305212e-01
4.799999999999999822e-01,1.076428751918664828e+00,7.560843509303228904e-01,2.215920799173351607e+00,1.482946310855139671e-01
4.849999999999999867e-01,1.080364793530763201e+00,7.531169493518578006e-01,2.217510539480226583e+00,1.483734839451619492e-01
4.899999999999999911e-01,1.080992354443436332e+00,7.479516666791592439e-01,2.214037823185388110e+00,1.472757464366483693e-01
4.949999999999999956e-01,1.088009876202848947e+00,7.439392137379240433e-01,2.214040321923734567e+00,1.499091269530321013e-01
5.000000000000000000e-01,1.089504772373505848e+00,7.338911921545889783e-01,2.207151225719122145e+00,1.468569999299912110e-01
5.050000000000000044e-01,1.095961684932064806e+00,7.296434494813961447e-01,2.208883024802505091e+00,1.477010354417797044e-01
5.100000000000000089e-01,1.097385463428883101e+00,7.238845644635233390e-01,2.205299940772431633e+00,1.482623928542269598e-01
5.150000000000000133e-01,1.102348736356380643e+00,7.181629156338460440e-01,2.198736931219066104e+00,1.472205007056913983e-01
5.200000000000000178e-01,1.106798885102831642e+00,7.147486644571807712e-01,2.199787971700790212e+00,1.483804862552452475e-01
5.250000000000000222e-01,1.108457378059192866e+00,7.094427522754688242e-01,2.195661543464006105e+00,1.483021408788110507e-01
5.300000000000000266e-01,1.109252024383819313e+00,7.021294755302374124e-01,2.188136468220079234e+00,1.505555537000848321e-01
5.350000000000000311e-01,1.111269979968439126e+00,6.968969873689789818e-01,2.187110201425477740e+00,1.497287371905396958e-01
5.400000000000000355e-01,1.121084813484777509e+00,6.932345316019231651e-01,2.182818247795482502e+00,1.479289098967989102e-01
5.450000000000000400e-01,1.120619737042590991e+00,6.845884281664649240e-01,2.179350397776966819e+00,1.492798086078382380e-01
5.500000000000000444e-01,1.122714381047848820e+00,6.810106697712057233e-01,2.174289227480163955e+00,1.510155352487823066e-01
5.550000000000000488e-01,1.127613687267546849e+00,6.727366592345546126e-01,2.172218166715699006e+00,1.466039975709250431e-01
5.600000000000000533e-01,1.130159539667487056e+00,6.674042033227629567e-01,2.165096791389630848e+00,1.502965633712444460e-01
5.649999999999999467e-01,1.135445915349266199e+00,6.637637946936644218e-01,2.161428117351811728e+00,1.515982997240773456e-01
5.699999999999999512e-01,1.136988889049536766e+00,6.525676280324689271e-01,2.155181420714681995e+00,1.475201563490730339e-01
5.749999999999999556e-01,1.140105629219620553e+00,6.477321477845405795e-01,2.149302663323239049e+00,1.470845763717580357e-01
5.799999999999999600e-01,1.141780841674440605e+00,6.427521125607401631e-01,2.141237067029608809e+00,1.481280002937625517e-01
5.849999999999999645e-01,1.147252386485242859e+00,6.336813838564117063e-01,2.140004278256516290e+00,1.492298229249518493e-01
5.899999999999999689e-01,1.147316287154799275e+00,6.290110676188169769e-01,2.133012625750609015e+00,1.474379046127421156e-01
5.949999999999999734e-01,1.153749787357555956e+00,6.242856133028236165e-01,2.127433967982868879e+00,1.520982392384743476e-01
5.999999999999999778e-01,1.158458356013032375e+00,6.147734586827933168e-01,2.120458695712271968e+00,1.502168582976564082e-01
6.049999999999999822e-01,1.155306923563796939e+00,6.044380076521711498e-01,2.112254278604034585e+00,1.502795227595479233e-01
6.099999999999999867e-01,1.156317464393966876e+00,5.954108990380506672e-01,2.104445721177961470e+00,1.528014282504592258e-01
6.149999999999999911e-01,1.165319228633386883e+00,5.896995659700056125e-01,2.098994430218602325e+00,1.533510482764633698e-01
6.199999999999999956e-01,1.171952510523360802e+00,5.803632328927489370e-01,2.088225646094514332e+00,1.530663431782291473e-01
6.250000000000000000e-01,1.167555275544312821e+00,5.719563335651449698e-01,2.081639066009143502e+00,1.538739944496192724e-01
6.300000000000000044e-01,1.169678511761274464e+00,5.667880508355616076e-01,2.075010797129966278e+00,1.565742289449535418e-01
6.350000000000000089e-01,1.175895954124083875e+00,5.583995946549831224e-01,2.065767631767830625e+00,1.574977719299456014e-01
6.400000000000000133e-01,1.175482793163701078e+00,5.454892181754913416e-01,2.057138795024473055e+00,1.570538638759430006e-01
6.450000000000000178e-01,1.178499130984357768e+00,5.392089605669192487e-01,2.045141725394630683e+00,1.591334405768029814e-01
6.500000000000000222e-01,1.181055126568513636e+00,5.295872178457915469e-01,2.036913198926240121e+00,1.586260605016514558e-01
6.550000000000000266e-01,1.184941223647141273e+00,5.241729978599835027e-01,2.025678932678707245e+00,1.585574680242403389e-01
6.600000000000000311e-01,1.185070579848264583e+00,5.147904966192772269e-01,2.019432574730434471e+00,1.574041659899078627e-01
6.650000000000000355e-01,1.188311485439502269e+00,5.069601498475166945e-01,2.006506523340847004e+00,1.603183412975754119e-01
6.700000000000000400e-01,1.189140307451692413e+00,4.960131287968948532e-01,1.995253260147440200e+00,1.567079218745838221e-01
6.750000000000000444e-01,1.189397492953288449e+00,4.879707054824968249e-01,1.985198381343425966e+00,1.607634886895426274e-01
6.800000000000000488e-01,1.191889331941995867e+00,4.791148475481726288e-01,1.974465969872789994e+00,1.614957627952741948e-01
6.850000000000000533e-01,1.191912151696293609e+00,4.683662963456824979e-01,1.957485452224146938e+00,1.607421093606090645e-01
